subject,predicate,object,sentence
He,is known for,experimental work on cavity quantum electrodynamics,He is primarily known for his experimental work on cavity quantum electrodynamics ( in form of micromaser) as well his groundbreaking work on ion trap.
He,is known for,groundbreaking work on ion trap,He is primarily known for his experimental work on cavity quantum electrodynamics ( in form of micromaser) as well his groundbreaking work on ion trap.
He,had over 600 publications,numerous awards from prestigious physics optics societies,At time of his death he had over 600 publications numerous awards from number of prestigious physics optics societies.
He,received Einstein Prize for Laser Science,1988,In 1988 he received Einstein Prize for Laser Science.
He,received Charles Hard Townes Award,1990,In 1990 he received Charles Hard Townes Award.
He,received Albert A. Michelson Medal from Franklin Institute in Philadelphia,1993,In 1993 he received Albert A. Michelson Medal from Franklin Institute in Philadelphia.
He,received Frederic Ives Medal of The Optical Society,2003,In 1993 he received Albert A. Michelson Medal from Franklin Institute in Philadelphia in 2003 Frederic Ives Medal of The Optical Society.
Marion Herbert Hoover,was born in,"Asheville, Ohio","Marion Herbert Hoover ( known as M. Herbert Hoover or Herbert Hoover ) ( Born Asheville , Ohio died 1952 ) of Akron , Ohio , was American politician of Republican party who ran unsuccessfully for number of elective offices in Ohio."
Marion Herbert Hoover,died in,1952,"Marion Herbert Hoover ( known as M. Herbert Hoover or Herbert Hoover ) ( Born Asheville , Ohio died 1952 ) of Akron , Ohio , was American politician of Republican party who ran unsuccessfully for number of elective offices in Ohio."
Marion Herbert Hoover,was from,"Akron, Ohio","Marion Herbert Hoover ( known as M. Herbert Hoover or Herbert Hoover ) ( Born Asheville , Ohio died 1952 ) of Akron , Ohio , was American politician of Republican party who ran unsuccessfully for number of elective offices in Ohio."
Marion Herbert Hoover,was a member of,Republican party,"Marion Herbert Hoover ( known as M. Herbert Hoover or Herbert Hoover ) ( Born Asheville , Ohio died 1952 ) of Akron , Ohio , was American politician of Republican party who ran unsuccessfully for number of elective offices in Ohio."
Marion Herbert Hoover,ran unsuccessfully for,number of elective offices in Ohio,"Marion Herbert Hoover ( known as M. Herbert Hoover or Herbert Hoover ) ( Born Asheville , Ohio died 1952 ) of Akron , Ohio , was American politician of Republican party who ran unsuccessfully for number of elective offices in Ohio."
Marion Herbert Hoover,ran unsuccessfully for,Lieutenant Governor of Ohio,"In 1944 , Hoover was Republican nominee in election for Lieutenant Governor of Ohio."
Marion Herbert Hoover,dropped his first initial for campaign purposes,Herbert Hoover,"Starting with 1940 campaign , he dropped his first initial for campaign purposes , calling himself only Herbert Hoover ."
Hoover,was nominee for,Lieutenant Governor of Ohio,"In 1944 , Hoover was Republican nominee in election for Lieutenant Governor of Ohio ."
Hoover,not related to,Herbert Hoover,"Despite his name , he was not related to Herbert Hoover , President of United States from 1929 to 1933 ."
Bert or Herbert Ward,is John Neil Bell,"( October 4 , 1921 – August 17 , 1998 )","Bert or Herbert Ward may refer to John Neil Bell ( October 4 , 1921 – August 17 , 1998 ) was Canadian football player who played for ReginaSaskatchewan Roughriders from 1946 to 1952 ."
John Neil Bell,played for,ReginaSaskatchewan Roughriders,"Bert or Herbert Ward may refer to John Neil Bell ( October 4 , 1921 – August 17 , 1998 ) was Canadian football player who played for ReginaSaskatchewan Roughriders from 1946 to 1952 ."
John Neil Bell,played junior football for,Parkdale Lions,"Bert or Herbert Ward may refer to John Neil Bell ( October 4 , 1921 – August 17 , 1998 ) was Canadian football player who played for ReginaSaskatchewan Roughriders from 1946 to 1952 . He played junior football for Parkdale Lions ."
John Neil Bell,inducted into,Roughriders Plaza of Honour,"In 1998 , he was inducted into Roughriders Plaza of Honour ."
John Neil Bell,died of,heart condition,"He died earlier that year of heart condition , aged 76 ."
Theodor Kotsch,was born in,Hanover,"Theodor Kotsch ( January 6 , 1818 – November 27 , 1884 ) was German landscape painter . Kotsch was born in Hanover ."
Theodor Kotsch,went to,Munich,"Theodor Kotsch ( January 6 , 1818 – November 27 , 1884 ) was German landscape painter . Kotsch was born in Hanover . He went to Munich in 1839 , where he developed his style by studying other masters through landscape painting ."
Theodor Kotsch,joined studio of,Johann Wilhelm Schirmer,"Theodor Kotsch ( January 6 , 1818 – November 27 , 1884 ) was German landscape painter . Kotsch was born in Hanover . He went to Munich in 1839 , where he developed his style by studying other masters through landscape painting . In 1845 he returned to Hanover , then in 1854 moved to Karlsruhe , where he joined studio of Johann Wilhelm Schirmer ."
Kotsch,born in,Hanover,"He went to Munich in 1839 , where he developed his style by studying other masters through landscape painting . In 1845 he returned to Hanover , then in 1854 moved to Karlsruhe , where he joined studio of Johann Wilhelm Schirmer . In 1870 he established himself in Munich , died there in 1884 . His landscapes are very realistic carefully composed , usually taken from Harz , Upper Bavaria , Swabia . He also produced number of studies of trees in chalk pencil ."
Kotsch,moved to,Munich,"He went to Munich in 1839 , where he developed his style by studying other masters through landscape painting . In 1845 he returned to Hanover , then in 1854 moved to Karlsruhe , where he joined studio of Johann Wilhelm Schirmer . In 1870 he established himself in Munich , died there in 1884 . His landscapes are very realistic carefully composed , usually taken from Harz , Upper Bavaria , Swabia . He also produced number of studies of trees in chalk pencil ."
Kotsch,moved to,Karlsruhe,"He went to Munich in 1839 , where he developed his style by studying other masters through landscape painting . In 1845 he returned to Hanover , then in 1854 moved to Karlsruhe , where he joined studio of Johann Wilhelm Schirmer . In 1870 he established himself in Munich , died there in 1884 . His landscapes are very realistic carefully composed , usually taken from Harz , Upper Bavaria , Swabia . He also produced number of studies of trees in chalk pencil ."
Kotsch,died in,Munich,"He went to Munich in 1839 , where he developed his style by studying other masters through landscape painting . In 1845 he returned to Hanover , then in 1854 moved to Karlsruhe , where he joined studio of Johann Wilhelm Schirmer . In 1870 he established himself in Munich , died there in 1884 . His landscapes are very realistic carefully composed , usually taken from Harz , Upper Bavaria , Swabia . He also produced number of studies of trees in chalk pencil ."
Kotsch,studied in,Munich,"He went to Munich in 1839 , where he developed his style by studying other masters through landscape painting . In 1845 he returned to Hanover , then in 1854 moved to Karlsruhe , where he joined studio of Johann Wilhelm Schirmer . In 1870 he established himself in Munich , died there in 1884 . His landscapes are very realistic carefully composed , usually taken from Harz , Upper Bavaria , Swabia . He also produced number of studies of trees in chalk pencil ."
Kotsch,studied with,Johann Wilhelm Schirmer,"He went to Munich in 1839 , where he developed his style by studying other masters through landscape painting . In 1845 he returned to Hanover , then in 1854 moved to Karlsruhe , where he joined studio of Johann Wilhelm Schirmer . In 1870 he established himself in Munich , died there in 1884 . His landscapes are very realistic carefully composed , usually taken from Harz , Upper Bavaria , Swabia . He also produced number of studies of trees in chalk pencil ."
Kotsch,produced studies of,trees in chalk pencil,"He went to Munich in 1839 , where he developed his style by studying other masters through landscape painting . In 1845 he returned to Hanover , then in 1854 moved to Karlsruhe , where he joined studio of Johann Wilhelm Schirmer . In 1870 he established himself in Munich , died there in 1884 . His landscapes are very realistic carefully composed , usually taken from Harz , Upper Bavaria , Swabia . He also produced number of studies of trees in chalk pencil ."
Mrs. John Wood,born on,6 November 1831,"Mrs. John Wood ( 6 November 1831 ( bap . 28 November ) , Liverpool – 11 January 1915 , Birchington- on- Sea ) , born Matilda Charlotte Vining , was English actress theatre manager ."
Mrs. John Wood,died on,11 January 1915,"Mrs. John Wood ( 6 November 1831 ( bap . 28 November ) , Liverpool – 11 January 1915 , Birchington- on- Sea ) , born Matilda Charlotte Vining , was English actress theatre manager ."
Matilda Charlotte Vining,born on,28 November 1831,"Mrs. John Wood ( 6 November 1831 ( bap . 28 November ) , Liverpool – 11 January 1915 , Birchington- on- Sea ) , born Matilda Charlotte Vining , was English actress theatre manager ."
Harry Carroll,born on,"November 28 , 1892","Harry Carroll ( November 28 , 1892 , in Atlantic City , New Jersey – December 26 , 1962 , in Mount Carmel , Pennsylvania ) was American songwriter , pianist , composer ."
Harry Carroll,died on,"December 26 , 1962","Harry Carroll ( November 28 , 1892 , in Atlantic City , New Jersey – December 26 , 1962 , in Mount Carmel , Pennsylvania ) was American songwriter , pianist , composer ."
By Beautiful Sea,published in,1914,"By Beautiful Sea is popular song published in 1914 , with music written by Harry Carroll lyrics written by Harold R. Atteridge ."
"Shapiro , Bernstein Co.",published,sheet music,"The sheet music was published by Shapiro , Bernstein Co ."
Heidelberg Quintet,originally recorded,By Beautiful Sea,"The song was originally recorded by Heidelberg Quintet , topping early American music charts for six weeks in summer of 1914 , during outbreak of World War I ."
Heidelberg Quintet,topped charts,By Beautiful Sea,"The song was originally recorded by Heidelberg Quintet , topping early American music charts for six weeks in summer of 1914 , during outbreak of World War I ."
Ada Jones,recorded,By Beautiful Sea,"Other popular recordings in 1914 were by Ada Jones Billy Watkins , by Princes Orchestra ."
Billy Watkins,recorded,By Beautiful Sea,"Other popular recordings in 1914 were by Ada Jones Billy Watkins , by Princes Orchestra ."
Princes Orchestra,recorded,By Beautiful Sea,"Other popular recordings in 1914 were by Ada Jones Billy Watkins , by Princes Orchestra ."
Julie London,included song,By Beautiful Sea,Julie London included song in her album Swing Me Old Song ( 1959 ) .
Alonso Mudarra,died,"April 1 , 1580","Alonso Mudarra ( c. 1510 – April 1 , 1580 ) was Spanish composer of Renaissance , also played vihuela , guitar- shaped string instrument . He was innovative composer of instrumental music as well as songs , was composer of earliest surviving music for guitar ."
Petrus de Domarto,flourished around,c. 1445–1455,"Petrus de Domarto ( fl . c. 1445–1455 ) was Franco- Flemish composer of Renaissance . He was contemporary probable acquaintance of Ockeghem , was composer of at least one of first unified mass cycles to be written in continental Europe ."
Petrus de Domarto,contemporary of,Ockeghem,"Petrus de Domarto ( fl . c. 1445–1455 ) was Franco- Flemish composer of Renaissance . He was contemporary probable acquaintance of Ockeghem , was composer of at least one of first unified mass cycles to be written in continental Europe ."
Daniela Sea,born,"January 7 , 1977","Daniela Sea ( born January 7 , 1977 ) is American filmmaker , actress musician . She rose to prominence through her role as Max Sweeney on Showtimes drama series The L Word ."
William Sea,born,3 March 1992,William Sea ( born 3 March 1992 ) is French professional footballer who plays as forward for Tours FC . He is half- brother of former professional footballer Cyril Yapi .
Cyril Yapi,half-brother of,William Sea,William Sea ( born 3 March 1992 ) is French professional footballer who plays as forward for Tours FC . He is half- brother of former professional footballer Cyril Yapi .
Walter Robinson,is African American composer of late 20th century,Walter Robinson,Walter Robinson is African American composer of late 20th century .
William Sea,born on,3 March 1992,"William Sea ( born 3 March 1992 ) is French professional footballer who plays as forward for Tours FC . He is half- brother of former professional footballer Cyril Yapi . Walter Robinson is African American composer of late 20th century . He is most notable for his 1977 song Harriet Tubman , which has been recorded by folk musicians such as Holly Near , John McCutcheon , others . He is also composer of several operas . Alexander Mair Sandy Courage Jr. ( December 10 , 1919 May 15 , 2008 ) was American orchestrator , arranger , composer of music , primarily for television film . He is best known as composer of theme music for original Star Trek series ."
William Sea,plays as,forward for Tours FC,"William Sea ( born 3 March 1992 ) is French professional footballer who plays as forward for Tours FC . He is half- brother of former professional footballer Cyril Yapi . Walter Robinson is African American composer of late 20th century . He is most notable for his 1977 song Harriet Tubman , which has been recorded by folk musicians such as Holly Near , John McCutcheon , others . He is also composer of several operas . Alexander Mair Sandy Courage Jr. ( December 10 , 1919 May 15 , 2008 ) was American orchestrator , arranger , composer of music , primarily for television film . He is best known as composer of theme music for original Star Trek series ."
Cyril Yapi,is half-brother of,William Sea,"William Sea ( born 3 March 1992 ) is French professional footballer who plays as forward for Tours FC . He is half- brother of former professional footballer Cyril Yapi . Walter Robinson is African American composer of late 20th century . He is most notable for his 1977 song Harriet Tubman , which has been recorded by folk musicians such as Holly Near , John McCutcheon , others . He is also composer of several operas . Alexander Mair Sandy Courage Jr. ( December 10 , 1919 May 15 , 2008 ) was American orchestrator , arranger , composer of music , primarily for television film . He is best known as composer of theme music for original Star Trek series ."
Walter Robinson,is African American composer of late 20th century,Harriet Tubman song,"Walter Robinson is African American composer of late 20th century . He is most notable for his 1977 song Harriet Tubman , which has been recorded by folk musicians such as Holly Near , John McCutcheon , others . He is also composer of several operas . Alexander Mair Sandy Courage Jr. ( December 10 , 1919 May 15 , 2008 ) was American orchestrator , arranger , composer of music , primarily for television film . He is best known as composer of theme music for original Star Trek series ."
Harriet Tubman song,recorded by,"folk musicians such as Holly Near , John McCutcheon","Walter Robinson is African American composer of late 20th century . He is most notable for his 1977 song Harriet Tubman , which has been recorded by folk musicians such as Holly Near , John McCutcheon , others . He is also composer of several operas . Alexander Mair Sandy Courage Jr. ( December 10 , 1919 May 15 , 2008 ) was American orchestrator , arranger , composer of music , primarily for television film . He is best known as composer of theme music for original Star Trek series ."
Alexander Mair Sandy Courage Jr.,was born on,"December 10, 1919","Alexander Mair Sandy Courage Jr. ( December 10 , 1919 May 15 , 2008 ) was American orchestrator , arranger , composer of music , primarily for television film . He is best known as composer of theme music for original Star Trek series ."
Alexander Mair Sandy Courage Jr.,died on,"May 15, 2008","Alexander Mair Sandy Courage Jr. ( December 10 , 1919 May 15 , 2008 ) was American orchestrator , arranger , composer of music , primarily for television film . He is best known as composer of theme music for original Star Trek series ."
Alexander Mair Sandy Courage Jr.,is best known as composer of,theme music for original Star Trek series,"Alexander Mair Sandy Courage Jr. ( December 10 , 1919 May 15 , 2008 ) was American orchestrator , arranger , composer of music , primarily for television film . He is best known as composer of theme music for original Star Trek series ."
Alexander Mair Sandy Courage Jr.,is American orchestrator,arranger,"Alexander Mair Sandy Courage Jr. ( December 10 , 1919 May 15 , 2008 ) was American orchestrator , arranger , composer of music , primarily for television film . He is best known as composer of theme music for original Star Trek series ."
Alexander Mair Sandy Courage Jr.,is composer of music,primarily for television film,"Alexander Mair Sandy Courage Jr. ( December 10 , 1919 May 15 , 2008 ) was American orchestrator , arranger , composer of music , primarily for television film . He is best known as composer of theme music for original Star Trek series ."
Alexander Mair Sandy Courage Jr.,is composer of,theme music for original Star Trek series,"Alexander Mair Sandy Courage Jr. ( December 10 , 1919 May 15 , 2008 ) was American orchestrator , arranger , composer of music , primarily for television film . He is best known as composer of theme music for original Star Trek series ."
Wrong Turn 3 Left for Dead,released on DVD on,"October 20, 2009","Wrong Turn 3 Left for Dead is 2009 American horror film directed by Declan OBrien starring Tom Frederic , Janet Montgomery , Tamer Hassan . It is sequel to ( 2007 ) third installment in Wrong Turn franchise . The film was released on DVD on October 20 , 2009 . Wrong Turn 4 Bloody Beginnings is 2011 American horror film written directed by Declan OBrien . It is fourth installment of Wrong Turn franchise served as prequel to 2003 film Wrong Turn . The film was followed by ( 2012 ) . Tarmina is 1954 Indonesian film directed by Lilik Sudjio . It stars Fifi Young , A. Hadi Endang Kusdiningsih . It received five awards at first Indonesian Film Festival in 1955 , including Best Film , Best Director for Lilik Sudjio , Best Leading Actor for A. Hadi , Best Leading Actress for Fifi Young , Supporting Actress for Endang Kusdiningsih . Rob Schmidt ( born September 25 , 1965 ) is American film director writer . His film credits include Wrong Turn Crime Punishment in Suburbia . He also created pilot called American Town for Twentieth Century Fox ."
Wrong Turn 3 Left for Dead,is sequel to,Wrong Turn 2: Dead End,"Wrong Turn 3 Left for Dead is 2009 American horror film directed by Declan OBrien starring Tom Frederic , Janet Montgomery , Tamer Hassan . It is sequel to ( 2007 ) third installment in Wrong Turn franchise ."
Wrong Turn 4 Bloody Beginnings,is fourth installment of,Wrong Turn franchise,Wrong Turn 4 Bloody Beginnings is 2011 American horror film written directed by Declan OBrien . It is fourth installment of Wrong Turn franchise served as prequel to 2003 film Wrong Turn .
Wrong Turn 4 Bloody Beginnings,served as prequel to,Wrong Turn,Wrong Turn 4 Bloody Beginnings is 2011 American horror film written directed by Declan OBrien . It is fourth installment of Wrong Turn franchise served as prequel to 2003 film Wrong Turn .
Tarmina,released at first Indonesian Film Festival in,1955,"Tarmina is 1954 Indonesian film directed by Lilik Sudjio . It stars Fifi Young , A. Hadi Endang Kusdiningsih . It received five awards at first Indonesian Film Festival in 1955 , including Best Film , Best Director for Lilik Sudjio , Best Leading Actor for A. Hadi , Best Leading Actress for Fifi Young , Supporting Actress for Endang Kusdiningsih ."
Lilik Sudjio,received Best Director award at first Indonesian Film Festival in,1955,"Tarmina is 1954 Indonesian film directed by Lilik Sudjio . It stars Fifi Young , A. Hadi Endang Kusdiningsih . It received five awards at first Indonesian Film Festival in 1955 , including Best Film , Best Director for Lilik Sudjio , Best Leading Actor for A. Hadi , Best Leading Actress for Fifi Young , Supporting Actress for Endang Kusdiningsih ."
A. Hadi Endang Kusdiningsih,received Best Leading Actor award at first Indonesian Film Festival in,1955,"Tarmina is 1954 Indonesian film directed by Lilik Sudjio . It stars Fifi Young , A. Hadi Endang Kusdiningsih . It received five awards at first Indonesian Film Festival in 1955 , including Best Film , Best Director for Lilik Sudjio , Best Leading Actor for A. Hadi , Best Leading Actress for Fifi Young , Supporting Actress for Endang Kusdiningsih ."
Fifi Young,received Best Leading Actress award at first Indonesian Film Festival in,1955,"Tarmina is 1954 Indonesian film directed by Lilik Sudjio . It stars Fifi Young , A. Hadi Endang Kusdiningsih . It received five awards at first Indonesian Film Festival in 1955 , including Best Film , Best Director for Lilik Sudjio , Best Leading Actor for A. Hadi , Best Leading Actress for Fifi Young , Supporting Actress for Endang Kusdiningsih ."
Endang Kusdiningsih,received Supporting Actress award at first Indonesian Film Festival in,1955,"Tarmina is 1954 Indonesian film directed by Lilik Sudjio . It stars Fifi Young , A. Hadi Endang Kusdiningsih . It received five awards at first Indonesian Film Festival in 1955 , including Best Film , Best Director for Lilik Sudjio , Best Leading Actor for A. Hadi , Best Leading Actress for Fifi Young , Supporting Actress for Endang Kusdiningsih ."
Rob Schmidt,is American film director writer born on,"September 25, 1965","Rob Schmidt ( born September 25 , 1965 ) is American film director writer . His film credits include Wrong Turn Crime Punishment in Suburbia . He also created pilot called American Town for Twentieth Century Fox ."
Rob Schmidt,born on,"September 25, 1965","Rob Schmidt ( born September 25 , 1965 ) is American film director writer . His film credits include Wrong Turn Crime Punishment in Suburbia . He also created pilot called American Town for Twentieth Century Fox . He directed Masters of Horror episode called Right to Die . His thriller The Alphabet Killer , which reunited him with Eliza Dushku ( Wrong Turn ) , Martin Donovan ( Right to Die ) , Michael Ironside ( Crime Punishment in Suburbia ) , has been picked up for international distribution by New Films International . Rob is currently film Professor at Emory University in Atlanta , GA. Wrong Turn The Foundation is upcoming German- American horror film directed by Mike P. Nelson written by Alan B. McElroy . The film is reboot seventh installment of Wrong Turn film series . Wrong Turn 2 Dead End is 2007 American horror film directed by Joe Lynch starring Erica Leerhsen , Henry Rollins Texas Battle . A sequel to Wrong Turn ( 2003 ) second installment in Wrong Turn franchise . It was released on DVD on October 9 , 2007 . The film received positive response from critics making it best- reviewed film in franchise . It is followed by ( 2009 ) ."
Rob Schmidt,is,American film director writer,"Rob Schmidt ( born September 25 , 1965 ) is American film director writer . His film credits include Wrong Turn Crime Punishment in Suburbia . He also created pilot called American Town for Twentieth Century Fox . He directed Masters of Horror episode called Right to Die . His thriller The Alphabet Killer , which reunited him with Eliza Dushku ( Wrong Turn ) , Martin Donovan ( Right to Die ) , Michael Ironside ( Crime Punishment in Suburbia ) , has been picked up for international distribution by New Films International . Rob is currently film Professor at Emory University in Atlanta , GA. Wrong Turn The Foundation is upcoming German- American horror film directed by Mike P. Nelson written by Alan B. McElroy . The film is reboot seventh installment of Wrong Turn film series . Wrong Turn 2 Dead End is 2007 American horror film directed by Joe Lynch starring Erica Leerhsen , Henry Rollins Texas Battle . A sequel to Wrong Turn ( 2003 ) second installment in Wrong Turn franchise . It was released on DVD on October 9 , 2007 . The film received positive response from critics making it best- reviewed film in franchise . It is followed by ( 2009 ) ."
Wrong Turn The Foundation,is,upcoming German- American horror film,"Wrong Turn The Foundation is upcoming German- American horror film directed by Mike P. Nelson written by Alan B. McElroy . The film is reboot seventh installment of Wrong Turn film series . Wrong Turn 2 Dead End is 2007 American horror film directed by Joe Lynch starring Erica Leerhsen , Henry Rollins Texas Battle . A sequel to Wrong Turn ( 2003 ) second installment in Wrong Turn franchise . It was released on DVD on October 9 , 2007 . The film received positive response from critics making it best- reviewed film in franchise . It is followed by ( 2009 ) ."
Wrong Turn 2 Dead End,is,2007 American horror film,"Wrong Turn 2 Dead End is 2007 American horror film directed by Joe Lynch starring Erica Leerhsen , Henry Rollins Texas Battle . A sequel to Wrong Turn ( 2003 ) second installment in Wrong Turn franchise . It was released on DVD on October 9 , 2007 . The film received positive response from critics making it best- reviewed film in franchise . It is followed by ( 2009 ) ."
Wrong Turn 2 Dead End,is sequel to,Wrong Turn ( 2003 ),"Wrong Turn 2 Dead End is 2007 American horror film directed by Joe Lynch starring Erica Leerhsen , Henry Rollins Texas Battle . A sequel to Wrong Turn ( 2003 ) second installment in Wrong Turn franchise . It was released on DVD on October 9 , 2007 . The film received positive response from critics making it best- reviewed film in franchise . It is followed by ( 2009 ) ."
Wrong Turn 2 Dead End,was released on DVD on,"October 9, 2007","Wrong Turn 2 Dead End is 2007 American horror film directed by Joe Lynch starring Erica Leerhsen , Henry Rollins Texas Battle . A sequel to Wrong Turn ( 2003 ) second installment in Wrong Turn franchise . It was released on DVD on October 9, 2007 . The film received positive response from critics making it best- reviewed film in franchise . It is followed by ( 2009 ) ."
Wrong Turn 2 Dead End,received positive response from,critics,"Wrong Turn 2 Dead End is 2007 American horror film directed by Joe Lynch starring Erica Leerhsen , Henry Rollins Texas Battle . A sequel to Wrong Turn ( 2003 ) second installment in Wrong Turn franchise . It was released on DVD on October 9, 2007 . The film received positive response from critics making it best- reviewed film in franchise . It is followed by ( 2009 ) ."
Wrong Turn 2 Dead End,is second installment in,Wrong Turn franchise,"Wrong Turn 2 Dead End is 2007 American horror film directed by Joe Lynch starring Erica Leerhsen , Henry Rollins Texas Battle . A sequel to Wrong Turn ( 2003 ) second installment in Wrong Turn franchise . It was released on DVD on October 9, 2007 . The film received positive response from critics making it best- reviewed film in franchise . It is followed by ( 2009 ) ."
Wrong Turn 2 Dead End,is followed by,( 2009 ),"Wrong Turn 2 Dead End is 2007 American horror film directed by Joe Lynch starring Erica Leerhsen , Henry Rollins Texas Battle . A sequel to Wrong Turn ( 2003 ) second installment in Wrong Turn franchise . It was released on DVD on October 9, 2007 . The film received positive response from critics making it best- reviewed film in franchise . It is followed by ( 2009 ) ."
Wrong Turn (2003),sequel to,Wrong Turn (2003) second installment in Wrong Turn franchise,"A sequel to Wrong Turn ( 2003 ) second installment in Wrong Turn franchise . It was released on DVD on October 9 , 2007 . The film received positive response from critics making it best- reviewed film in franchise . It is followed by ( 2009 ) ."
Wrong Turn (2003),released on DVD on,"October 9 , 2007","It was released on DVD on October 9 , 2007 ."
Wrong Turn (2003),best-reviewed film in franchise,Wrong Turn (2003) second installment in Wrong Turn franchise,The film received positive response from critics making it best- reviewed film in franchise . It is followed by ( 2009 ) .
Wrong Turn (2003),followed by,Wrong Turn (2009),It is followed by ( 2009 ) .
Lilik Sudjio,born on,14 May 1930,Lilik Sudjio ( 14 May 1930 – 9 December 2014 ) was Indonesian actor turned film director who won Citra Award for Best Director in 1955 for his film Tarmina .
Lilik Sudjio,died on,9 December 2014,Lilik Sudjio ( 14 May 1930 – 9 December 2014 ) was Indonesian actor turned film director who won Citra Award for Best Director in 1955 for his film Tarmina .
Lilik Sudjio,won Citra Award for Best Director in,1955,"He was involved in 74 feature film productions since his debut in Fred Youngs Saputangan in 1949 . Wrong Turn is 2003 slasher film directed by Rob Schmidt written by Alan B. McElroy . The film stars Desmond Harrington , Eliza Dushku , Emmanuelle Chriqui , Jeremy Sisto Kevin Zegers . The film was released on May 30 , 2003 . Wrong Turn 5 Bloodlines ( also known as Wrong Turn 5 ) is 2012 American horror film written directed by Declan OBrien . The film stars Camilla Arfwedson , Roxanne McKee Doug Bradley ."
Fred Youngs Saputangan,debut in,1949,"Lilik Sudjio ( 14 May 1930 – 9 December 2014 ) was Indonesian actor turned film director who won Citra Award for Best Director in 1955 for his film Tarmina . Wrong Turn is 2003 slasher film directed by Rob Schmidt written by Alan B. McElroy . The film stars Desmond Harrington , Eliza Dushku , Emmanuelle Chriqui , Jeremy Sisto Kevin Zegers . The film was released on May 30 , 2003 . Wrong Turn 5 Bloodlines ( also known as Wrong Turn 5 ) is 2012 American horror film written directed by Declan OBrien . The film stars Camilla Arfwedson , Roxanne McKee Doug Bradley ."
Wrong Turn (2003),directed by,Rob Schmidt,"Wrong Turn (2003) second installment in Wrong Turn franchise . It was released on DVD on October 9 , 2007 . The film received positive response from critics making it best- reviewed film in franchise . It is followed by ( 2009 ) ."
Wrong Turn (2003),written by,Alan B. McElroy,"Wrong Turn (2003) second installment in Wrong Turn franchise . It was released on DVD on October 9 , 2007 . The film received positive response from critics making it best- reviewed film in franchise . It is followed by ( 2009 ) ."
Wrong Turn (2003),stars,"Desmond Harrington , Eliza Dushku , Emmanuelle Chriqui , Jeremy Sisto Kevin Zegers","Wrong Turn (2003) second installment in Wrong Turn franchise . It was released on DVD on October 9 , 2007 . The film received positive response from critics making it best- reviewed film in franchise . It is followed by ( 2009 ) ."
Wrong Turn (2003),released on,"May 30 , 2003","Wrong Turn (2003) second installment in Wrong Turn franchise . It was released on DVD on October 9 , 2007 . The film received positive response from critics making it best- reviewed film in franchise . It is followed by ( 2009 ) ."
Wrong Turn (2003),followed by,Wrong Turn (2009),"It was released on DVD on October 9 , 2007 . The film received positive response from critics making it best- reviewed film in franchise . It is followed by ( 2009 ) ."
Wrong Turn (2003),second installment in,Wrong Turn franchise,"A sequel to Wrong Turn ( 2003 ) second installment in Wrong Turn franchise . It was released on DVD on October 9 , 2007 . The film received positive response from critics making it best- reviewed film in franchise . It is followed by ( 2009 ) ."
Wrong Turn (2003),sequel to,Wrong Turn ( 2003 ) second installment in Wrong Turn franchise,"A sequel to Wrong Turn ( 2003 ) second installment in Wrong Turn franchise . It was released on DVD on October 9 , 2007 . The film received positive response from critics making it best- reviewed film in franchise . It is followed by ( 2009 ) ."
The film,released on,"May 30, 2003","The film was released on May 30 , 2003 . Wrong Turn 5 Bloodlines ( also known as Wrong Turn 5 ) is 2012 American horror film written directed by Declan OBrien . The film stars Camilla Arfwedson , Roxanne McKee Doug Bradley . It is fifth installment in Wrong Turn franchise sequel to ( 2011 ) , leading events of 2003 film Wrong Turn . Ben Palmer is British film television director who is known for being director of Bo Selecta The Inbetweeners ."
Wrong Turn 5 Bloodlines,also known as,Wrong Turn 5,"Wrong Turn 5 Bloodlines ( also known as Wrong Turn 5 ) is 2012 American horror film written directed by Declan OBrien . The film stars Camilla Arfwedson , Roxanne McKee Doug Bradley . It is fifth installment in Wrong Turn franchise sequel to ( 2011 ) , leading events of 2003 film Wrong Turn . Ben Palmer is British film television director who is known for being director of Bo Selecta The Inbetweeners ."
Wrong Turn 5 Bloodlines,written and directed by,Declan O'Brien,"Wrong Turn 5 Bloodlines ( also known as Wrong Turn 5 ) is 2012 American horror film written directed by Declan OBrien . The film stars Camilla Arfwedson , Roxanne McKee Doug Bradley . It is fifth installment in Wrong Turn franchise sequel to ( 2011 ) , leading events of 2003 film Wrong Turn . Ben Palmer is British film television director who is known for being director of Bo Selecta The Inbetweeners ."
Wrong Turn 5 Bloodlines,is a sequel to,Wrong Turn (2011),"It is fifth installment in Wrong Turn franchise sequel to ( 2011 ) , leading events of 2003 film Wrong Turn ."
Wrong Turn 5 Bloodlines,is part of,Wrong Turn franchise,"It is fifth installment in Wrong Turn franchise sequel to ( 2011 ) , leading events of 2003 film Wrong Turn ."
Wrong Turn 5 Bloodlines,released in,2012,"Wrong Turn 5 Bloodlines ( also known as Wrong Turn 5 ) is 2012 American horror film written directed by Declan OBrien . The film stars Camilla Arfwedson , Roxanne McKee Doug Bradley . It is fifth installment in Wrong Turn franchise sequel to ( 2011 ) , leading events of 2003 film Wrong Turn . Ben Palmer is British film television director who is known for being director of Bo Selecta The Inbetweeners ."
